,year,url,batter,batter_hand,pitcher,pitcher_hand,event,type,x,y,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,py,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,spin_dir,spin_rate
64,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_03/gid_2010_04_03_bosmlb_wasmlb_1/inning/inning_all.xml,134181,R,489334,R,Groundout,X,102.15,140.74,90.7,84.4,3.34,1.56,-3.394,8.664,0.002,1.4,2.594,-1.864,50,6.09,6.079,-132.773,-6.077,-6.124,25.564,-16.468,23.9,15.9,4.1,Four seam fast ball,201.3,1842.004
104,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_04/gid_2010_04_04_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,282332,L,Sac Fly,X,85.84,127.79,88,80.1,3.29,1.56,7.85,12.5,0.483,1.4,3.194,2.354,50,6.056,-7.307,-128.69,-4.992,13.031,29.37,-11.36,23.7,-42.4,4.1,Change-up,147.952,2768.386
115,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_04/gid_2010_04_04_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,502085,R,Single,X,84.98,119.16,92,84.1,3.29,1.56,-1.2,15.3,0.596,1.4,3.586,-1.585,50,5.485,6.198,-134.684,-4.255,-2.191,30.811,-4.153,23.7,8.7,1.2,Four seam fast ball,184.469,3027.565
174,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_06/gid_2010_04_06_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,150359,R,Single,X,71.24,174.42,83.1,74.4,3.29,1.56,6.74,-6.72,0.925,1.4,1.339,-1.939,50,5.623,4.702,-121.834,-1.244,9.641,34.758,-41.705,23.6,-14.4,12.4,Knuckle curve,45.328,1614.334
180,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_06/gid_2010_04_06_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,150359,R,Single,X,87.55,123.47,95.2,85.3,3.29,1.56,-4.7,8.11,0.243,1.4,3.404,-1.725,50,5.876,7,-139.423,-3.659,-8.978,40.212,-16.63,23.6,21.6,4.1,Four seam fast ball,210.009,1867.86
186,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_06/gid_2010_04_06_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,469686,R,Lineout,X,87.55,152.83,88.8,80,3.29,1.56,0.87,5.2,0.318,1.4,2.072,-2.09,50,6.107,5.814,-130.006,-5.591,1.445,35.008,-23.471,23.7,-6.7,6.2,Cut-Fastball,170.575,984.494
214,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_07/gid_2010_04_07_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,120485,L,Flyout,X,115.88,137.29,90,81.1,3.53,1.56,3.13,10.84,-0.506,1.4,2.749,1.816,50,6.174,-7.011,-131.619,-6.174,5.352,34.318,-13.554,23.7,-13.3,3.7,Four seam fast ball,163.965,2135.506
221,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_07/gid_2010_04_07_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,120485,L,Flyout,X,79.83,152.83,76.1,68.9,3.29,1.56,-5.57,-4.86,0.654,1.4,1.975,2.314,50,6.031,-2.042,-111.536,-0.046,-6.77,26.501,-38.007,23.7,10.7,13,Curve ball,310.749,1162.366
226,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_07/gid_2010_04_07_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,120485,L,Single,X,74.68,158.88,88.2,79.3,3.29,1.56,7.23,8.35,0.915,1.4,2.04,1.926,50,6.012,-4.894,-129.062,-6.331,11.825,34.3,-18.438,23.6,-27.8,5.7,Two-seam fastball,139.277,2037.403
233,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_07/gid_2010_04_07_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,120221,R,Flyout,X,99.57,157.15,92.7,83,3.29,1.56,-7.68,7.08,0.144,1.4,1.849,-2.464,50,5.51,9.498,-135.464,-5.995,-13.814,38.264,-19.353,23.6,28.1,5.4,Sinker,227.134,2018.448
327,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_09/gid_2010_04_09_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,434678,R,Field Error,X,109.01,165.78,93.4,84.4,3.29,1.56,-7.83,13.23,-0.237,1.4,1.765,-2.1,50,5.882,7.683,-136.402,-9.564,-14.469,35.455,-7.659,23.7,51,3.6,Four seam fast ball,210.548,3027.711
335,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_09/gid_2010_04_09_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,434678,R,Groundout,X,105.58,117.43,92.9,84.6,3.29,1.56,-5.48,15.01,-0.18,1.4,3.812,-2.123,50,6.147,7.096,-135.914,-5.444,-10.171,32.176,-4.263,23.7,56.9,2.2,Four seam fast ball,200.021,3170.946
340,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_09/gid_2010_04_09_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,434678,R,Flyout,X,103.86,162.33,82.8,74.7,3.29,1.56,-14.1,10.85,-0.06,1.4,1.874,-2.29,50,5.98,9.584,-120.878,-6.232,-20.383,28.656,-16.414,23.7,45.5,7.2,Change-up,232.288,3092.346
346,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_09/gid_2010_04_09_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,407297,R,Single,X,84.98,148.51,86.6,78.7,3.29,1.56,-2.84,6.87,0.322,1.4,2.358,-2.674,50,5.456,8.36,-126.765,-3.445,-4.548,30.139,-21.124,23.7,6.9,5.6,Change-up,202.37,1367.562
457,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_11/gid_2010_04_11_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,219194,R,Single,X,86.7,101.89,95.8,86.2,3.29,1.56,-3.84,13.92,0.386,1.4,4.364,-1.628,50,6.331,6.886,-140.311,-4.486,-7.47,38.643,-4.99,23.6,41.9,1.8,Four seam fast ball,195.364,2914.952
473,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_11/gid_2010_04_11_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,434565,R,Double,X,84.12,154.56,96.3,87.5,3.29,1.56,-8.24,13.44,0.437,1.4,2.122,-2.269,50,5.224,10.433,-140.621,-7.583,-16.319,35.084,-5.478,23.7,61.8,3.2,Two-seam fastball,211.436,3228.051
482,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_11/gid_2010_04_11_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,407297,R,Flyout,X,87.55,152.83,82.1,74.4,3.29,1.56,5.6,2.74,0.391,1.4,2.172,-2.667,50,5.192,5.485,-120.352,-1.102,8.002,28.966,-28.188,23.7,-17.9,8.5,Slider,116.48,1077.649
490,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_11/gid_2010_04_11_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,430638,R,Single,X,87.55,137.29,95,85.6,3.29,1.56,-9.8,9.13,0.367,1.4,2.8,-1.754,50,5.77,9.207,-138.985,-5.367,-18.72,37.999,-14.67,23.7,45.2,4.9,Sinker,226.922,2675.225
543,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_12/gid_2010_04_12_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,134321,R,Groundout,X,57.51,153.69,89.1,82.7,3.29,1.56,-3.1,10.37,1.247,1.4,2.176,-2.332,50,6.347,10.259,-130.022,-7.986,-5.352,25.183,-14.2,23.8,12.4,3.8,Four seam fast ball,196.58,2092.555
548,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_12/gid_2010_04_12_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,134321,R,Groundout,X,122.75,154.56,89.2,82.8,3.29,1.56,-4.88,7.09,-0.778,1.4,2.002,-2.68,50,6.44,6.547,-130.377,-7.617,-8.453,25.625,-19.82,23.8,18.8,5.2,Sinker,214.38,1665.703
556,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_12/gid_2010_04_12_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,488846,L,Single,X,79.83,131.24,89.8,82.8,3.29,1.56,12.24,2.45,0.564,1.4,2.988,2.554,50,6.003,-9.292,-131.423,-2.462,21.424,27.739,-27.82,23.8,-34.6,8,Sinker,101.488,2413.347
561,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_12/gid_2010_04_12_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,400010,R,Flyout,X,72.1,157.15,84,77.4,3.43,1.56,5.61,2.5,0.792,1.4,1.883,-0.783,50,6.748,2.051,-123.011,-5.917,8.511,26.577,-28.307,23.8,-16.7,8.2,Slider,114.435,1102.532
612,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_14/gid_2010_04_14_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,458713,R,Lineout,X,141.63,114.84,90.6,83.7,3.43,1.56,-2.79,6.63,-1.249,1.4,3.746,-1.919,50,5.788,2.713,-132.888,-1.521,-5.009,27.516,-20.206,23.8,12.3,4.7,Four seam fast ball,202.709,1416.408
623,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_14/gid_2010_04_14_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,458713,R,Flyout,X,76.39,145.06,90.1,82.3,3.43,1.56,-3.11,11.6,0.686,1.4,2.562,-1.9,50,5.8,7.749,-131.781,-6.109,-5.416,30.172,-11.865,23.7,15.6,3.2,Four seam fast ball,194.931,2313.964
627,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_14/gid_2010_04_14_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,450212,R,Groundout,X,71.24,145.06,80.9,75.9,3.43,1.56,-0.84,1.48,0.814,1.4,2.584,-2.99,50,4.803,9.209,-118.316,1.145,-1.211,18.778,-29.961,23.9,-0.3,8.3,Slider,208.687,309.329
633,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_14/gid_2010_04_14_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,430884,R,Double,X,116.74,135.56,93.3,86.2,3.43,1.56,-6.19,5.9,-0.4,1.4,2.785,-1.267,50,5.906,4.514,-136.657,-4.565,-11.737,29.125,-20.898,23.8,26.3,5.2,Two-seam fastball,226.147,1727.888
638,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_14/gid_2010_04_14_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,488751,R,Groundout,X,101.29,173.55,84.9,79.2,3.43,1.56,3.28,0.67,-0.054,1.4,1.351,-1.351,50,5.993,2.143,-124.394,-5.118,5.161,23.725,-31.042,23.9,-9.8,8.3,Slider,102.371,616.226
697,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_15/gid_2010_04_15_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,434538,L,Groundout,X,90.99,158.01,83.2,76.8,3.43,1.56,11.3,6,0.262,1.4,1.942,1.214,50,5.466,-5.822,-121.888,-3.681,16.987,24.051,-23.082,23.8,-33.8,7.7,Change-up,118.158,2293.287
704,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_15/gid_2010_04_15_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,434538,L,Groundout,X,90.99,133.84,93.1,85.2,3.43,1.56,10.98,5.18,0.403,1.4,2.984,1.469,50,5.407,-6.686,-136.409,-2.333,20.546,31.901,-22.415,23.8,-39.6,6.5,Two-seam fastball,115.407,2419.148
710,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_15/gid_2010_04_15_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,434538,L,Groundout,X,136.48,151.1,93.2,86,3.43,1.56,11.27,2.39,-1.006,1.4,2.151,0.934,50,5.344,-9.168,-136.383,-3.48,21.24,29.716,-27.594,23.8,-34.3,7.4,Two-seam fastball,102.169,2311.348
719,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_15/gid_2010_04_15_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,467726,L,Grounded Into DP,X,73.82,126.93,88.7,81.2,3.43,1.56,4.45,8.29,0.72,1.4,3.463,2.471,50,5.856,-5.957,-129.879,-2.6,7.555,28.664,-18.024,23.8,-18.6,4.7,Four seam fast ball,151.903,1791.776
830,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_16/gid_2010_04_16_tbamlb_bosmlb_1/inning/inning_all.xml,134181,R,346797,R,Groundout,X,91.85,149.38,93.4,83.1,3.43,1.56,-4.46,10.87,0.292,1.4,2.408,-1.497,50,5.798,6.274,-136.612,-6.673,-8.098,40.766,-12.332,23.6,23.7,3.5,Four seam fast ball,202.2,2275.901
832,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_16/gid_2010_04_16_tbamlb_bosmlb_1/inning/inning_all.xml,134181,R,433578,R,Groundout,X,72.1,160.6,86.6,77.7,3.43,1.56,2.44,5.21,0.849,1.4,1.798,-1.735,50,5.957,5.591,-126.738,-5.393,3.829,34.595,-23.933,23.6,-11.7,6.8,Cut-Fastball,155.08,1040.209
845,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_16/gid_2010_04_16_tbamlb_bosmlb_1/inning/inning_all.xml,134181,R,433578,R,Grounded Into DP,X,97,160.6,78,69.9,3.43,1.56,6.71,-3.69,0.146,1.4,1.804,-1.877,50,6.012,2.564,-114.322,-1.009,8.474,30.076,-36.764,23.6,-13.7,12.4,Curve ball,61.557,1222.999
982,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_18/gid_2010_04_18_tbamlb_bosmlb_1/inning/inning_all.xml,134181,R,490063,R,Flyout,X,58.37,151.1,87.7,80.4,3.43,1.56,2.3,1.75,1.194,1.4,2.014,-1.247,50,6.08,5.406,-128.466,-4.463,3.787,29.887,-29.22,23.8,-9.3,7.6,Slider,127.956,542.393
988,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_18/gid_2010_04_18_tbamlb_bosmlb_1/inning/inning_all.xml,134181,R,490063,R,Single,X,102.15,157.15,95,85.7,3.43,1.56,-2.09,9.35,-0.055,1.4,1.885,-1.207,50,5.883,3.866,-139.019,-8.241,-3.998,38.15,-14.241,23.7,10.2,3.6,Four seam fast ball,192.566,1917.406
996,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_18/gid_2010_04_18_tbamlb_bosmlb_1/inning/inning_all.xml,134181,R,490063,R,Double,X,126.18,125.2,89.3,81.8,3.43,1.56,-5.71,9.56,-0.713,1.4,3.501,-1.282,50,6.153,3.376,-130.89,-3.808,-9.851,29.061,-15.61,23.8,29,4.4,Two-seam fastball,210.74,2136.1
1058,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_19/gid_2010_04_19_tbamlb_bosmlb_1/inning/inning_all.xml,134181,R,435298,R,Single,X,104.72,158.01,91.2,82.8,3.43,1.56,-4.06,3.84,-0.117,1.4,1.937,-0.94,50,6.392,3.523,-133.608,-6.798,-7.178,34.684,-25.319,23.7,13.2,6.4,Two-seam fastball,226.318,1077.756
1065,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_19/gid_2010_04_19_tbamlb_bosmlb_1/inning/inning_all.xml,134181,R,435298,R,Flyout,X,87.55,115.7,88.7,80.4,3.43,1.56,2.51,4.52,0.352,1.4,3.692,-0.886,50,6.532,2.324,-129.98,-2.405,4.2,32.43,-24.52,23.7,-10.7,6.2,Slider,151.246,974.475
1072,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_19/gid_2010_04_19_tbamlb_bosmlb_1/inning/inning_all.xml,134181,R,435298,R,Flyout,X,90.99,138.15,87.8,79.5,3.43,1.56,-1.91,5.48,0.386,1.4,2.84,-0.909,50,6.602,3.88,-128.68,-4.866,-3.127,32.502,-23.132,23.7,5.2,6.1,Four seam fast ball,199.075,1078.666
1074,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_19/gid_2010_04_19_tbamlb_bosmlb_1/inning/inning_all.xml,134181,R,458567,R,Groundout,X,104.72,112.25,86,79.1,3.43,1.56,2.06,2.94,-0.216,1.4,3.956,-0.772,50,5.651,0.716,-126.088,1.29,3.309,26.15,-27.379,23.8,-7.2,6.9,Cut-Fastball,145.392,670.338
1132,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_20/gid_2010_04_20_texmlb_bosmlb_1/inning/inning_all.xml,134181,R,407890,R,Single,X,68.67,160.6,86.3,78.4,3.43,1.56,0.67,1.51,1.025,1.4,2.001,-2.389,50,6.072,8.213,-126.286,-4.026,1.053,31.497,-29.727,23.7,-5.4,8,Four seam fast ball,156.718,306.036
1146,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_20/gid_2010_04_20_texmlb_bosmlb_1/inning/inning_all.xml,134181,R,444884,R,Flyout,X,76.39,121.75,93.9,84.7,3.43,1.56,-6.82,9.22,0.469,1.4,3.577,-1.658,50,5.376,8.097,-137.453,-2.09,-12.78,36.158,-14.806,23.7,34.8,4.1,Four seam fast ball,216.346,2275.952
1150,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_20/gid_2010_04_20_texmlb_bosmlb_1/inning/inning_all.xml,134181,R,119984,L,Groundout,X,127.04,112.25,90.6,82.3,3.43,1.56,0.26,5.75,-0.822,1.4,3.944,1.439,50,5.776,-5.971,-132.688,-0.545,0.457,32.425,-21.996,23.7,2.5,5.1,Four seam fast ball,177.431,1113.962
1152,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_20/gid_2010_04_20_texmlb_bosmlb_1/inning/inning_all.xml,134181,R,407911,R,Flyout,X,98.71,167.51,81.1,75,3.43,1.56,3.99,-4.62,-0.061,1.4,1.656,-1.55,50,5.995,2.271,-118.862,-1.88,5.654,24.72,-38.645,23.8,-8.8,11.3,Curve ball,41.144,1048.841
1213,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_21/gid_2010_04_21_texmlb_bosmlb_1/inning/inning_all.xml,134181,R,457448,L,Groundout,X,72.1,156.29,80.8,72.9,3.43,1.56,9.97,7.35,0.928,1.4,2.097,2.31,50,6.005,-6.164,-118.292,-4.259,13.736,28.402,-21.97,23.7,-28.2,7.7,Change-up,126.608,2098.611
1215,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_21/gid_2010_04_21_texmlb_bosmlb_1/inning/inning_all.xml,134181,R,450545,R,Groundout,X,123.61,151.97,92.5,83.1,3.43,1.56,-10.95,7.33,-0.812,1.4,2.348,-2.285,50,5.927,7.624,-135.383,-5.872,-19.728,37.541,-18.896,23.6,40.8,6.1,Sinker,236.057,2548.321
1218,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_21/gid_2010_04_21_texmlb_bosmlb_1/inning/inning_all.xml,134181,R,503285,R,Groundout,X,90.13,154.56,84.2,75.7,3.43,1.56,-7.97,-3.64,0.387,1.4,2.217,-3.521,50,3.187,11.85,-122.743,5.496,-11.869,29.723,-37.526,23.6,14,10.2,Sinker,294.272,1538.906
1257,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_22/gid_2010_04_22_texmlb_bosmlb_1/inning/inning_all.xml,134181,R,450351,L,Flyout,X,109.01,148.51,91.4,82.4,3.43,1.56,8.96,10.28,-0.294,1.4,2.346,0.892,50,5.629,-6.133,-133.748,-5.925,15.852,35.134,-13.906,23.7,-42.8,4.9,Two-seam fastball,139.051,2623.584
1267,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_22/gid_2010_04_22_texmlb_bosmlb_1/inning/inning_all.xml,134181,R,450351,L,Single,X,84.98,150.24,89.6,81.6,3.43,1.56,-0.65,5.11,0.578,1.4,2.337,1.264,50,5.372,-1.55,-131.298,-3.298,-1.123,31.474,-23.307,23.7,3.5,5.7,Cut-Fastball,187.216,987.589
1282,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_23/gid_2010_04_23_balmlb_bosmlb_1/inning/inning_all.xml,134181,R,425386,R,Groundout,X,147.64,124.34,94.8,85.6,3.43,1.56,-6.43,8.45,-1.437,1.4,3.334,-1.65,50,5.695,2.843,-138.925,-3.487,-12.304,37.276,-15.943,23.7,34.4,4.4,Four seam fast ball,217.163,2126.958
1289,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_23/gid_2010_04_23_balmlb_bosmlb_1/inning/inning_all.xml,134181,R,425386,R,Single,X,117.6,122.61,92.7,84,3.43,1.56,-4.47,10.58,-0.667,1.4,3.454,-1.657,50,5.792,4.178,-135.806,-3.847,-8.214,34.297,-12.671,23.7,27.8,3.4,Four seam fast ball,202.838,2260.701
1426,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_25/gid_2010_04_25_balmlb_bosmlb_1/inning/inning_all.xml,134181,R,456696,R,Forceout,X,86.7,179.6,81,73.4,3.43,1.74,10.78,-1.3,0.397,1.4,0.889,-0.958,50,6.155,-0.087,-118.691,-4.826,14.855,29.963,-33.889,23.7,-22.9,11.3,Curve ball,83.414,1827.815
1442,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_25/gid_2010_04_25_balmlb_bosmlb_1/inning/inning_all.xml,134181,R,424805,L,Single,X,98.71,154.56,89.6,79.9,3.43,1.74,9.31,9.94,-0.064,1.4,1.956,0.938,50,6.155,-5.609,-131.096,-7.658,15.574,37.581,-15.458,23.6,-38.5,5.5,Four seam fast ball,137.027,2528.35
1447,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_25/gid_2010_04_25_balmlb_bosmlb_1/inning/inning_all.xml,134181,R,462382,R,Groundout,X,97,113.98,94.5,84.9,3.43,1.74,-8.1,10.39,0.201,1.4,3.758,-1.115,50,6.79,6.382,-138.341,-5.87,-15.273,38.672,-12.51,23.6,43.7,4.2,Two-seam fastball,217.835,2611.11
1457,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_25/gid_2010_04_25_balmlb_bosmlb_1/inning/inning_all.xml,134181,R,462382,R,Single,X,91.85,141.61,95.9,85.9,3.43,1.74,-7.98,10.26,0.199,1.4,2.451,-0.9,50,6.852,5.816,-140.13,-9.761,-15.378,40.715,-12.331,23.6,42.2,4.3,Sinker,217.774,2599.081
1513,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_26/gid_2010_04_26_bosmlb_tormlb_1/inning/inning_all.xml,134181,R,445968,L,Groundout,X,89.27,158.01,80.8,74.4,3.43,1.74,10.82,2.79,0.304,1.4,1.957,2.024,50,5.869,-7.275,-118.272,-3.064,15.232,23.828,-28.171,23.8,-25.7,9.2,Change-up,104.725,1931.876
1515,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_26/gid_2010_04_26_bosmlb_tormlb_1/inning/inning_all.xml,134181,R,445968,L,Double,X,86.7,150.24,82.4,76,3.43,1.74,8.02,5.71,0.421,1.4,2.306,1.878,50,5.906,-5.947,-120.661,-3.588,11.802,23.946,-23.699,23.8,-23.7,7.3,Change-up,125.683,1746.999
1524,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_26/gid_2010_04_26_bosmlb_tormlb_1/inning/inning_all.xml,134181,R,425861,R,Single,X,72.96,162.33,82.6,76.8,3.43,1.74,-5.81,-3.36,0.783,1.4,1.942,-2.277,50,5.094,9.118,-120.74,0.223,-8.632,22.019,-37.091,23.9,10.9,10.3,Change-up,299.668,1193.669
1528,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_26/gid_2010_04_26_bosmlb_tormlb_1/inning/inning_all.xml,134181,R,445163,R,Single,X,76.39,180.46,76.3,71,3.43,1.74,7.18,-7.89,0.708,1.4,0.963,-1.449,50,5.517,2.7,-111.845,-0.477,9.021,21.605,-42.021,23.9,-12.6,13.9,Curve ball,42.492,1732.257
1579,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_27/gid_2010_04_27_bosmlb_tormlb_1/inning/inning_all.xml,134181,R,451788,R,Single,X,115.88,140.74,81.5,75.8,3.43,1.74,-3.18,5.52,-0.653,1.4,2.511,-1.134,50,6.038,2.118,-119.538,-3.265,-4.634,21.557,-24.055,23.9,9.9,6.9,Change-up,209.715,1134.573
1585,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_27/gid_2010_04_27_bosmlb_tormlb_1/inning/inning_all.xml,134181,R,451788,R,Groundout,X,135.62,143.33,87.6,81.2,3.43,1.74,-6.67,3.92,-1.014,1.4,2.478,-1.017,50,6.15,2.208,-128.407,-4.291,-11.171,25.829,-25.531,23.8,22.2,6.9,Two-seam fastball,239.261,1468.436
1597,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_27/gid_2010_04_27_bosmlb_tormlb_1/inning/inning_all.xml,134181,R,276514,R,Lineout,X,114.16,165.78,93,84.6,3.43,1.74,-7.96,12.45,-0.403,1.4,1.626,-2.24,50,6.201,7.648,-135.809,-10.488,-14.67,33.248,-9.143,23.7,47.7,3.8,Four seam fast ball,212.495,2917.004
1646,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_28/gid_2010_04_28_bosmlb_tormlb_1/inning/inning_all.xml,134181,R,446399,L,Flyout,X,105.58,144.2,91.4,84.4,3.43,1.74,4.5,9.99,-0.158,1.4,2.58,1.483,50,6.407,-5.884,-133.739,-7.47,8.176,28.234,-13.972,23.8,-24.2,3.8,Four seam fast ball,155.813,2164.576
1666,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_28/gid_2010_04_28_bosmlb_tormlb_1/inning/inning_all.xml,134181,R,445163,R,Double,X,73.82,147.65,92.5,86.3,3.43,1.74,2.17,3.43,0.841,1.4,2.465,-1.222,50,5.227,4.79,-135.582,-2.664,4.086,26.199,-25.645,23.9,-10.7,5.7,Four seam fast ball,147.962,824.162
1674,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_28/gid_2010_04_28_bosmlb_tormlb_1/inning/inning_all.xml,134181,R,451650,L,Single,X,132.19,146.79,90.7,84.8,3.43,1.74,3.56,5.28,-0.877,1.4,2.519,1.149,50,5.669,-6.571,-132.776,-4.044,6.461,24.174,-22.517,23.9,-12.9,5.3,Four seam fast ball,146.217,1269.559
1723,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_30/gid_2010_04_30_bosmlb_balmlb_1/inning/inning_all.xml,134181,R,456696,R,Forceout,X,88.41,156.29,80.1,74.1,3.43,1.74,7.4,0.24,0.47,1.4,2.057,-1.24,50,6.465,1.735,-117.442,-3.323,10.266,23.682,-31.766,23.8,-18,10,Curve ball,92.276,1269.179
1732,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_30/gid_2010_04_30_bosmlb_balmlb_1/inning/inning_all.xml,134181,R,456696,R,Single,X,107.3,153.69,95.2,87.3,3.43,1.74,-4.31,9.53,-0.256,1.4,2.048,-0.827,50,6.202,3.099,-139.298,-8.935,-8.406,33.118,-13.483,23.8,26.3,3.6,Four seam fast ball,204.214,2134.467
1743,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_30/gid_2010_04_30_bosmlb_balmlb_1/inning/inning_all.xml,134181,R,460072,R,Single,X,97,175.28,82.8,77.2,3.43,1.74,2.09,-1.77,0.188,1.4,1.211,-0.753,50,6.31,1.603,-121.307,-4.968,3.124,23.483,-34.742,23.9,-5.4,9.7,Slider,50.578,483.647
