,year,url,batter,batter_hand,pitcher,pitcher_hand,event,type,x,y,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,py,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,spin_dir,spin_rate
46048,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_02/gid_2014_05_02_wasmlb_phimlb_1/inning/inning_all.xml,407781,R,544931,R,Groundout,X,69.53,154.56,81.7,74.6,3.42,1.6,4.79,-2.56,0.894,1.4,2.109,-1.145,50,6.268,3.325,-119.752,-2.115,6.8,27.953,-35.728,23.7,-11.6,10.6,Slider,62.406,929.544
46054,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_02/gid_2014_05_02_wasmlb_phimlb_1/inning/inning_all.xml,407781,R,544931,R,Single,X,79.83,140.74,81.2,74.6,3.42,1.6,3.88,-4.85,0.633,1.4,2.724,-1.143,50,6.319,2.978,-119.044,-0.07,5.489,25.663,-38.961,23.8,-8.8,11.3,Curve ball,38.963,1063.777
46144,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_03/gid_2014_05_03_wasmlb_phimlb_1/inning/inning_all.xml,407781,R,458919,R,Single,X,91.85,146.79,81.9,74.9,3.37,1.57,-2.1,-3.74,0.256,1.4,2.409,-1.129,50,6.667,3.898,-120.105,-2.051,-3.01,27.512,-37.45,23.7,3.3,10.8,Split finger fastball,330.296,733.723
46147,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_03/gid_2014_05_03_wasmlb_phimlb_1/inning/inning_all.xml,407781,R,489334,R,Double,X,116.74,158.01,91.3,84,3.37,1.57,-8.89,6.59,-0.449,1.4,2.028,-2.231,50,5.594,7.741,-133.636,-5.563,-16.04,29.504,-20.223,23.8,33.9,5.8,Two-seam fastball,233.31,2171.538
46242,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_04/gid_2014_05_04_wasmlb_phimlb_1/inning/inning_all.xml,407781,R,461829,L,Double Play,X,129.61,139.88,91.7,84.3,3.37,1.57,3.63,9.3,-0.903,1.4,2.616,1.706,50,5.588,-8.154,-134.16,-5.007,6.602,29.297,-15.16,23.8,-16.7,3.8,Four seam fast ball,158.794,1973.523
46244,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_04/gid_2014_05_04_wasmlb_phimlb_1/inning/inning_all.xml,407781,R,461829,L,Groundout,X,94.42,168.37,91,83.8,3.37,1.57,8.28,8.52,0.16,1.4,1.561,2.013,50,5.493,-7.691,-133.087,-7.12,14.84,28.833,-16.837,23.8,-35.8,5.1,Four seam fast ball,135.945,2326.412
46304,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_05/gid_2014_05_05_tormlb_phimlb_1/inning/inning_all.xml,407781,R,457918,L,Single,X,120.17,158.01,90.9,81.6,3.37,1.57,3.26,11.99,-0.566,1.4,1.924,2.017,50,6.126,-7.782,-132.841,-8.703,5.662,36.26,-11.303,23.6,-14.8,3.3,Four seam fast ball,164.823,2361.749
46317,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_05/gid_2014_05_05_tormlb_phimlb_1/inning/inning_all.xml,407781,R,469134,R,Triple,X,111.59,154.56,95,86,3.37,1.57,-2.31,13.49,-0.415,1.4,2.071,-0.296,50,6.033,0.489,-139.052,-9.657,-4.431,36.625,-6.181,23.7,26.3,2.1,Four seam fast ball,189.672,2751.07
46320,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_05/gid_2014_05_05_tormlb_phimlb_1/inning/inning_all.xml,407781,R,447755,R,Groundout,X,75.54,159.74,84.5,77.4,3.37,1.57,-2.31,2.74,0.746,1.4,1.84,-2.063,50,5.988,7.545,-123.6,-4.314,-3.533,27.696,-27.915,23.8,3.9,7.7,Slider,219.676,649.523
46393,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_06/gid_2014_05_06_tormlb_phimlb_1/inning/inning_all.xml,407781,R,571800,R,Double,X,119.31,153.69,91.8,84.2,3.45,1.47,-10.15,8.51,-0.712,1.4,2.18,-2.656,50,5.684,8.63,-134.203,-6.124,-18.45,30.052,-16.646,23.8,42.7,5.5,Four seam fast ball,229.914,2606.891
